year,fuel,distribution_margin_eur_l,source_url
2025,SP95,0.257,https://www.ecologie.gouv.fr/politiques-publiques/prix-produits-petroliers
2025,GAZOLE,0.219,https://www.ecologie.gouv.fr/politiques-publiques/prix-produits-petroliers
