station_id,persistent_station_bias_raw_cent_l,persistent_bias_months,persistent_bias_observations,persistent_station_bias_cent_l,persistent_bias_confidence,persistence_status,fuel,ville,cp,code_departement,code_region
50250002,-2.3716904024013212,20,20,-1.8243772326164007,HIGH,NORMAL,SP95,SAINT-SYMPHORIEN-LE-VALOIS,50250,50,28
50260001,-1.4364892068033703,20,20,-1.104991697541054,HIGH,NORMAL,SP95,Bricquebec,50260,50,28
50260004,-8.500321619220243,1,1,-1.214331659888606,INSUFFICIENT,PROVISIONAL,SP95,Bricquebec-en-Cotentin,50260,50,28
50270003,10.96351079319664,15,15,7.831079137997601,MEDIUM,ELEVATED,SP95,Les Moitiers-d'Allonne,50270,50,28
50290003,-2.664229291041597,20,20,-2.0494071469550743,HIGH,NORMAL,SP95,BREHAL,50290,50,28
50300006,10.863510793196628,18,18,8.14763309489747,HIGH,ELEVATED,SP95,Ponts,50300,50,28
50330002,5.172073167588297,19,19,3.930775607367106,HIGH,NORMAL,SP95,SAINT-PIERRE-ÉGLISE,50330,50,28
50330003,0.022073167588297027,20,20,0.016979359683305405,HIGH,NORMAL,SP95,Saint-Pierre-Église,50330,50,28
50340006,-5.6364892068033745,5,5,-2.5620405485469884,INSUFFICIENT,PROVISIONAL,SP95,FLAMANVILLE,50340,50,28
50360003,2.370971904556336,17,17,1.7524574946720743,MEDIUM,NORMAL,SP95,Picauville,50360,50,28
50390001,-1.2864892068033758,20,20,-0.9896070821564429,HIGH,NORMAL,SP95,Saint-Sauveur-le-Vicomte,50390,50,28
50400001,-4.727926832411701,1,1,-0.6754181189159574,INSUFFICIENT,PROVISIONAL,SP95,Granville,50400,50,28
50400003,-2.429028095443657,20,20,-1.8684831503412747,HIGH,NORMAL,SP95,GRANVILLE,50400,50,28
50410002,-1.0864892068033758,20,20,-0.835760928310289,HIGH,NORMAL,SP95,PERCY,50410,50,28
50420002,1.0135107931966263,16,16,0.7370987586884555,MEDIUM,NORMAL,SP95,Tessy-sur-Vire,50420,50,28
50430002,-1.8355228148181748,20,20,-1.4119406267832113,HIGH,NORMAL,SP95,LESSAY,50430,50,28
