fuel,selected_filter,bridge_beta,calibration_rmse_eur_l,calibration_mae_eur_l,n_train,n_test
GAZOLE,proxy_ma7_eur_l,0.6651369008578616,0.12272269842119193,0.0962348689695766,258,86
SP95,proxy_eur_l,0.5659348022654618,0.10791831102512338,0.10201627287997475,258,86
