effective_from,effective_to,geography,fuel,excise_eur_l,vat_rate,source_note
2026-03-01,,metropolitan_ex_corsica,SP95,0.6902,0.20,Normal essence excise 69.02 EUR/hL; standard metropolitan VAT
2026-03-01,,metropolitan_ex_corsica,GAZOLE,0.6075,0.20,Normal diesel excise 60.75 EUR/hL; standard metropolitan VAT
