factor,level,effect_cent_l,train_count,fuel,national_median_spread_cent_l
code_region,11,0.21683753416153978,118,SP95,4.9645261181501255
code_region,24,0.2930743860359194,122,SP95,4.9645261181501255
code_region,27,3.2432223822915933,243,SP95,4.9645261181501255
code_region,28,0.07510560616522641,161,SP95,4.9645261181501255
code_region,32,-0.6980449013406406,156,SP95,4.9645261181501255
code_region,44,2.944181924403176,188,SP95,4.9645261181501255
code_region,52,-0.06679259656678607,138,SP95,4.9645261181501255
code_region,53,-0.3859107146611243,184,SP95,4.9645261181501255
code_region,75,-0.4227889879903748,315,SP95,4.9645261181501255
code_region,76,0.48294326176288793,252,SP95,4.9645261181501255
code_region,84,-0.2774578214209269,355,SP95,4.9645261181501255
code_region,93,-0.12399938699013491,156,SP95,4.9645261181501255
code_departement,01,-0.32508853267832777,34,SP95,4.9645261181501255
code_departement,02,0.37157234753045665,26,SP95,4.9645261181501255
code_departement,03,0.3233811841892396,22,SP95,4.9645261181501255
code_departement,04,0.2153579806200249,11,SP95,4.9645261181501255
code_departement,05,0.20646001894017582,16,SP95,4.9645261181501255
code_departement,06,0.7059589455752955,20,SP95,4.9645261181501255
code_departement,07,0.2791331855027037,25,SP95,4.9645261181501255
code_departement,08,-0.7743119440169219,13,SP95,4.9645261181501255
code_departement,09,0.043693589054432484,9,SP95,4.9645261181501255
code_departement,10,0.5089594835804294,25,SP95,4.9645261181501255
code_departement,11,0.24340394461034992,18,SP95,4.9645261181501255
code_departement,12,0.11125266421654872,36,SP95,4.9645261181501255
code_departement,13,-0.671050778192098,47,SP95,4.9645261181501255
code_departement,14,1.4510589182528981,38,SP95,4.9645261181501255
code_departement,15,0.58720233995282,23,SP95,4.9645261181501255
code_departement,16,-0.6736509234094259,15,SP95,4.9645261181501255
code_departement,17,0.3995562941839775,22,SP95,4.9645261181501255
code_departement,18,0.4265215706232523,19,SP95,4.9645261181501255
code_departement,19,-0.11594280091312907,14,SP95,4.9645261181501255
code_departement,21,0.8930459524092202,41,SP95,4.9645261181501255
code_departement,22,0.03891957080994883,35,SP95,4.9645261181501255
code_departement,23,0.9288673187541511,12,SP95,4.9645261181501255
code_departement,24,0.058943426551223116,33,SP95,4.9645261181501255
code_departement,25,0.5257161105729936,42,SP95,4.9645261181501255
code_departement,26,-0.29736502790252906,29,SP95,4.9645261181501255
code_departement,27,-0.14457682627661395,20,SP95,4.9645261181501255
code_departement,28,-1.728259959212349,16,SP95,4.9645261181501255
code_departement,29,-0.12385122905334815,65,SP95,4.9645261181501255
code_departement,30,0.22128334032760047,38,SP95,4.9645261181501255
code_departement,31,-0.49267774171071815,34,SP95,4.9645261181501255
code_departement,32,-0.2123297767531021,9,SP95,4.9645261181501255
code_departement,33,-0.5767011080350665,60,SP95,4.9645261181501255
code_departement,34,-0.28832345493150974,31,SP95,4.9645261181501255
