fuel,n_months,mae_cent_l,rmse_cent_l,median_residual_cent_l,max_over_fair_cent_l,min_under_fair_cent_l
GAZOLE,7,4.956857142857137,5.715724925901468,4.109999999999969,7.9199999999999715,-7.5959999999999805
SP95,7,4.198285714285716,4.841781726360071,-1.8959999999999866,7.716000000000012,-6.4200000000000035
