fuel,factor,effect_column,level,effect_cent_l,raw_effect_cent_l,n_obs,n_stations,confidence,shrinkage_stations
GAZOLE,code_departement,department_effect_cent_l,44,-1.2805427455674327,-1.5749203882266125,3256,174,HIGH,40.0
GAZOLE,code_departement,department_effect_cent_l,45,-0.566675850219696,-0.7672690715364026,2054,113,HIGH,40.0
GAZOLE,code_departement,department_effect_cent_l,46,1.0283643620843406,1.6612039695208578,1095,65,MEDIUM,40.0
GAZOLE,code_departement,department_effect_cent_l,47,0.04684141628352199,0.06862812153167175,1586,86,MEDIUM,40.0
GAZOLE,code_departement,department_effect_cent_l,48,0.46897485593766747,0.962632599029949,673,38,MEDIUM,40.0
GAZOLE,code_departement,department_effect_cent_l,49,-0.604776794169465,-0.8329944523466215,2025,106,HIGH,40.0
GAZOLE,code_departement,department_effect_cent_l,50,-0.0458256133012261,-0.06037342704764709,2251,126,HIGH,40.0
GAZOLE,code_departement,department_effect_cent_l,51,-0.5042672878557157,-0.7235139347495052,1654,92,MEDIUM,40.0
GAZOLE,code_departement,department_effect_cent_l,52,0.6436825601366971,1.1118153311452041,886,55,MEDIUM,40.0
GAZOLE,code_departement,department_effect_cent_l,53,-0.0732436060677926,-0.1274981290809723,1023,54,MEDIUM,40.0
GAZOLE,code_departement,department_effect_cent_l,54,0.30992017298829655,0.4338882421836152,1777,100,HIGH,40.0
GAZOLE,code_departement,department_effect_cent_l,55,-0.29285527758368307,-0.6011239908296652,715,38,MEDIUM,40.0
GAZOLE,code_departement,department_effect_cent_l,56,-0.5433218033457551,-0.6963701986544184,2711,142,HIGH,40.0
GAZOLE,code_departement,department_effect_cent_l,57,0.6078933490741577,0.7853804582928898,2443,137,HIGH,40.0
GAZOLE,code_departement,department_effect_cent_l,58,0.8080900573247594,1.3379851768819786,1074,61,MEDIUM,40.0
GAZOLE,code_departement,department_effect_cent_l,59,-0.4126633870797829,-0.47714204131099897,4807,256,HIGH,40.0
GAZOLE,code_departement,department_effect_cent_l,60,-0.12377233790743965,-0.16537648510321767,2287,119,HIGH,40.0
GAZOLE,code_departement,department_effect_cent_l,61,0.0023847654088047674,0.003974609014674613,1080,60,MEDIUM,40.0
GAZOLE,code_departement,department_effect_cent_l,62,-0.23007261817779723,-0.2690679771909832,4411,236,HIGH,40.0
GAZOLE,code_departement,department_effect_cent_l,63,-0.33808074767003576,-0.4480257062619173,2241,123,HIGH,40.0
GAZOLE,code_departement,department_effect_cent_l,64,0.6126369720836538,0.8203105219425194,2148,118,HIGH,40.0
GAZOLE,code_departement,department_effect_cent_l,65,1.1531740850739076,2.0234941492806304,894,53,MEDIUM,40.0
GAZOLE,code_departement,department_effect_cent_l,66,-0.8330701485412896,-1.2895469422625443,1388,73,MEDIUM,40.0
GAZOLE,code_departement,department_effect_cent_l,67,-0.2296425073654151,-0.28967976419297464,2793,153,HIGH,40.0
GAZOLE,code_departement,department_effect_cent_l,68,-0.2840205895908154,-0.38029875555380366,2159,118,HIGH,40.0
GAZOLE,code_departement,department_effect_cent_l,69,0.6361459197536447,0.7621154088137723,3723,202,HIGH,40.0
GAZOLE,code_departement,department_effect_cent_l,70,-0.4933187150531274,-0.8065369468328909,1079,63,MEDIUM,40.0
