fuel,candidate,alpha,beta,rmse_eur_l,mae_eur_l,n_train,n_test
GAZOLE,proxy_ma7_eur_l,0.27969643224269813,0.757794806306342,0.12272269842119193,0.0962348689695766,258,86
GAZOLE,proxy_ma5_eur_l,0.2838121103910627,0.7505567718962965,0.12411696750637828,0.09650150488139836,258,86
GAZOLE,proxy_ma3_eur_l,0.2841778867353362,0.749925419388898,0.12519608905917826,0.09718046648999853,258,86
GAZOLE,proxy_eur_l,0.2852158662230018,0.7483144168690979,0.12579846452027735,0.09719429050120883,258,86
SP95,proxy_eur_l,0.25274736184802427,0.8457953904978497,0.10791831102512338,0.10201627287997475,258,86
SP95,proxy_ma7_eur_l,0.24905168312553147,0.8533222487473678,0.10853955554365889,0.10370593016249217,258,86
SP95,proxy_ma5_eur_l,0.25280812723990076,0.8461593805889392,0.10854466800199589,0.10316933386566561,258,86
SP95,proxy_ma3_eur_l,0.25376265130704906,0.8439723129513237,0.10885012434074534,0.10327335409203554,258,86
