id,latitude,longitude,cp,adresse,ville,departement,code_departement,region,code_region,road_type,price_eur_l,updated_at,fuel,age_hours_raw,age_hours,price_age_days,freshness_flag,latitude_deg,longitude_deg,nearest_station_km,stations_within_2km,stations_within_5km,stations_within_10km,stations_within_20km,stations_within_50km,competition_bucket,isolation_bucket,isolated_market,fair_price_eur_l,spread_eur_l,spread_cent_l,anomaly_z,flag,market_freshness,actionable,market_mode,market_data_date,official_anchor_date,accessibility_class,logistics_peer_group,accessibility_source,region_effect_cent_l,code_region_model_match,code_region_model_confidence,department_effect_cent_l,code_departement_model_match,code_departement_model_confidence,road_effect_cent_l,road_type_model_match,road_type_model_confidence,competition_effect_cent_l,competition_bucket_model_match,competition_bucket_model_confidence,isolation_effect_cent_l,isolation_bucket_model_match,isolation_bucket_model_confidence,logistics_premium_cent_l,accessibility_class_model_match,accessibility_class_model_confidence,base_structural_local_premium_cent_l,structural_local_premium_cent_l,historical_model_coverage,structural_premium_confidence,logistics_confidence,logistics_status,local_fair_price_eur_l,local_residual_cent_l,persistent_station_bias_cent_l,persistent_station_bias_raw_cent_l,persistent_bias_months,persistent_bias_observations,local_model_type,local_model_train_start,local_model_train_end,local_model_months,local_peer_count,local_peer_radius_km,local_peer_median_residual_cent_l,local_peer_mad_cent_l,local_peer_scale_cent_l,local_excess_cent_l,local_anomaly_score,peer_selection_method,peer_confidence,local_flag
82800001,4407487.0,151788.0,82800,Rue des Marchats,Nègrepelisse,Tarn-et-Garonne,82,Occitanie,76,ROUTE,2.379,2026-09-16 11:04:39+02:00,SP95,125.89052742583333,125.89052742583333,5.245438642743055,CURRENT,44.07487,1.51788,17.73053119624156,0.0,0.0,0.0,1.0,31.0,VERY_LOW,VERY_ISOLATED,True,2.1843808896827164,0.19461911031728363,19.461911031728363,3.147623544224088,VERY_HIGH,CURRENT,True,BRENT_FX_BRIDGE,2026-09-21,2026-09-11,REMOTE_ISOLATED,REMOTE_ISOLATED,ISOLATION_HEURISTIC,0.6183082148449623,True,HIGH,-0.062291135005956,True,LOW,-0.7673922969747032,True,HIGH,0.8052253718318598,True,HIGH,0.6598167077481045,True,HIGH,1.5137500896551053,True,HIGH,1.4631876996797615,2.9769377893348667,1.0,LOW,HIGH,ESTIMATED,2.214150267576065,16.484973242393508,2.611977348243376,3.436812300320232,19.0,19.0,HISTORICAL_PANEL,2025-01-31,2026-08-31,20,30,50.0,3.061852884241212,2.0823911352773283,3.087353097162167,13.423120358152296,4.347776213381799,RADIUS,MEDIUM,VERY_HIGH
48400003,4432800.0,359200.0,48400,65 AVENUE JEAN MONESTIER,Florac Trois Rivières,Lozère,48,Occitanie,76,ROUTE,2.358,2026-09-17 12:04:38+02:00,SP95,100.89080520361111,100.89080520361111,4.203783550150463,CURRENT,44.328,3.592,22.909670165879135,0.0,0.0,0.0,0.0,23.0,VERY_LOW,VERY_ISOLATED,True,2.1843808896827164,0.17361911031728372,17.361911031728372,2.675480012590477,HIGH,CURRENT,True,BRENT_FX_BRIDGE,2026-09-21,2026-09-11,REMOTE_ISOLATED,REMOTE_ISOLATED,ISOLATION_HEURISTIC,0.6183082148449623,True,HIGH,0.900738563445942,True,LOW,-0.7673922969747032,True,HIGH,0.8052253718318598,True,HIGH,0.6598167077481045,True,HIGH,1.5137500896551053,True,HIGH,2.42621739813166,3.939967487786765,1.0,LOW,HIGH,ESTIMATED,2.223780564560584,13.421943543941595,7.389114554336891,10.160032512213226,16.0,16.0,HISTORICAL_PANEL,2025-01-31,2026-08-31,20,22,50.0,6.314463449657426,1.3106911299108681,2.0,7.107480094284169,3.5537400471420844,RADIUS,MEDIUM,HIGH
2250001,4974300.0,377300.0,02250,Rue Saint Nicolas,Marle,Aisne,02,Hauts-de-France,32,ROUTE,2.319,2026-09-16 12:06:39+02:00,SP95,124.8571940925,124.8571940925,5.2023830871875,CURRENT,49.743,3.773,19.4921325997573,0.0,0.0,0.0,1.0,21.0,VERY_LOW,VERY_ISOLATED,True,2.1843808896827164,0.13461911031728357,13.461911031728357,1.8395202531179886,NORMAL,CURRENT,True,BRENT_FX_BRIDGE,2026-09-21,2026-09-11,REMOTE_ISOLATED,REMOTE_ISOLATED,ISOLATION_HEURISTIC,-1.015689954791925,True,HIGH,0.0166890778782541,True,MEDIUM,-0.7673922969747032,True,HIGH,0.8052253718318598,True,HIGH,0.6598167077481045,True,HIGH,1.5137500896551053,True,HIGH,-0.09183025707291564,1.4219198325821896,1.0,MEDIUM,HIGH,ESTIMATED,2.198600088008538,12.039991199146183,0.4272766454827308,0.5780801674178122,17.0,17.0,HISTORICAL_PANEL,2025-01-31,2026-08-31,20,20,50.0,4.474942489871725,2.3755741002742248,3.5220261610665653,7.565048709274458,2.1479251894550253,RADIUS,MEDIUM,HIGH
13460003,4345500.0,442800.0,13460,26 avenue d'Arles,Saintes-Maries-de-la-Mer,Bouches-du-Rhône,13,Provence-Alpes-Côte d'Azur,93,ROUTE,2.339,2026-09-17 11:32:17+02:00,SP95,101.42997187027777,101.42997187027777,4.226248827928241,CURRENT,43.455,4.428,22.913228115760415,0.0,0.0,0.0,0.0,40.0,VERY_LOW,VERY_ISOLATED,True,2.1843808896827164,0.1546191103172836,15.46191103172836,2.17577664347288,HIGH,CURRENT,True,BRENT_FX_BRIDGE,2026-09-21,2026-09-11,REMOTE_ISOLATED,REMOTE_ISOLATED,ISOLATION_HEURISTIC,0.4750018477710168,True,HIGH,-0.370536242742976,True,MEDIUM,-0.7673922969747032,True,HIGH,0.8052253718318598,True,HIGH,0.6598167077481045,True,HIGH,1.5137500896551053,True,HIGH,1.011636224868796,2.5253863145239013,1.0,MEDIUM,HIGH,ESTIMATED,2.2096347528279554,12.936524717204456,3.400706400961823,4.474613685476083,19.0,19.0,HISTORICAL_PANEL,2025-01-31,2026-08-31,20,40,50.0,3.5271247570712205,3.0327116659313758,4.496298315909858,9.409399960133236,2.0926992158947035,RADIUS,MEDIUM,HIGH
32700001,4391700.0,62800.0,32700,Route de Fleurance,Lectoure,Gers,32,Occitanie,76,ROUTE,2.35,2026-09-11 10:24:58+02:00,SP95,246.55191631472223,246.55191631472223,10.272996513113426,OLD,43.917,0.628,22.80007455308214,0.0,0.0,0.0,0.0,27.0,VERY_LOW,VERY_ISOLATED,True,2.1843808896827164,0.1656191103172837,16.56191103172837,2.4956158100633865,HIGH,CURRENT,True,BRENT_FX_BRIDGE,2026-09-21,2026-09-11,REMOTE_ISOLATED,REMOTE_ISOLATED,ISOLATION_HEURISTIC,0.6183082148449623,True,HIGH,0.1282713351817619,True,LOW,-0.7673922969747032,True,HIGH,0.8052253718318598,True,HIGH,0.6598167077481045,True,HIGH,1.5137500896551053,True,HIGH,1.6537501698674795,3.1675002595225847,1.0,LOW,HIGH,ESTIMATED,2.216055892277942,13.3944107722058,5.633746142240804,9.389576903734673,9.0,9.0,HISTORICAL_PANEL,2025-01-31,2026-08-31,20,27,50.0,3.9698415221608663,3.284560106367662,4.869688813700695,9.424569250044934,1.9353534918964936,RADIUS,MEDIUM,NORMAL
40310001,4398646.0,999.000000001,40310,za LAMARRAQUE,Gabarret,Landes,40,Nouvelle-Aquitaine,75,ROUTE,2.359,2026-09-18 09:22:10+02:00,SP95,79.59858298138889,79.59858298138889,3.316607624224537,CURRENT,43.98646,0.00999000000001,19.710153554942302,0.0,0.0,0.0,1.0,19.0,VERY_LOW,VERY_ISOLATED,True,2.1843808896827164,0.1746191103172836,17.461911031728363,2.4599074757381545,HIGH,CURRENT,True,BRENT_FX_BRIDGE,2026-09-21,2026-09-11,REMOTE_ISOLATED,REMOTE_ISOLATED,ISOLATION_HEURISTIC,-0.8525319954527302,True,HIGH,0.0223117536335021,True,MEDIUM,-0.7673922969747032,True,HIGH,0.8052253718318598,True,HIGH,0.6598167077481045,True,HIGH,1.5137500896551053,True,HIGH,0.0769503780215271,1.5907004676766323,1.0,MEDIUM,HIGH,ESTIMATED,2.200287894359483,15.871210564051719,-0.0591925984780977,-0.0769503780215271,20.0,20.0,HISTORICAL_PANEL,2025-01-31,2026-08-31,20,18,50.0,6.384960653706839,3.7359965016657393,5.5389884133696246,9.48624991034488,1.7126321996716278,RADIUS,MEDIUM,NORMAL
51470001,4895300.0,438200.0,51470,7 avenue Jacques Simon,Saint-Memmie,Marne,51,Grand Est,44,ROUTE,2.299,2026-09-17 07:30:00+02:00,SP95,105.46802742583333,105.46802742583333,4.394501142743056,CURRENT,48.953,4.382,20.71513367913679,0.0,0.0,0.0,0.0,18.0,VERY_LOW,VERY_ISOLATED,True,2.1843808896827164,0.11461911031728356,11.461911031728356,0.24946918501188867,NORMAL,CURRENT,True,BRENT_FX_BRIDGE,2026-09-21,2026-09-11,REMOTE_ISOLATED,REMOTE_ISOLATED,ISOLATION_HEURISTIC,-0.36634883945327,True,HIGH,-0.2460889827738154,True,LOW,-0.7673922969747032,True,HIGH,0.8052253718318598,True,HIGH,0.6598167077481045,True,HIGH,1.5137500896551053,True,HIGH,0.29473279761366983,1.808482887268775,1.0,LOW,HIGH,ESTIMATED,2.202465718555404,9.653428144459575,4.306277323246635,5.921131319464124,16.0,16.0,HISTORICAL_PANEL,2025-01-31,2026-08-31,20,18,50.0,5.829100846038537,1.5698732818556493,2.3274941276791856,3.8243272984210375,1.64310932214226,RADIUS,MEDIUM,NORMAL
41370004,4782078.655,139260.119,41370,Route de Blois,Marchenoir,Loir-et-Cher,41,Centre-Val de Loire,24,ROUTE,2.29,2026-09-18 16:35:12+02:00,SP95,72.38136075916667,72.38136075916667,3.0158900316319444,CURRENT,47.82078655,1.3926011900000002,21.39414918785177,0.0,0.0,0.0,0.0,26.0,VERY_LOW,VERY_ISOLATED,True,2.1843808896827164,0.10561911031728366,10.561911031728366,0.9297034792785549,NORMAL,CURRENT,True,BRENT_FX_BRIDGE,2026-09-21,2026-09-11,REMOTE_ISOLATED,REMOTE_ISOLATED,ISOLATION_HEURISTIC,-0.451961424793062,True,HIGH,-0.0289939196813197,True,LOW,-0.7673922969747032,True,HIGH,0.8052253718318598,True,HIGH,0.6598167077481045,True,HIGH,1.5137500896551053,True,HIGH,0.42621527536637355,1.9399653650214788,1.0,LOW,HIGH,ESTIMATED,2.203780543332931,8.621945666706887,-1.3856895464439132,-1.9399653650214783,15.0,15.0,HISTORICAL_PANEL,2025-01-31,2026-08-31,20,25,50.0,4.232890545778201,1.9000000000000128,2.816940000000019,4.3890551209286865,1.5580932220525312,RADIUS,MEDIUM,NORMAL
6430001,4408800.0,759400.0,06430,Quartier celestrera,Tende,Alpes-Maritimes,06,Provence-Alpes-Côte d'Azur,93,ROUTE,2.37,2026-09-16 16:13:05+02:00,SP95,120.74997187027778,120.74997187027778,5.03124882792824,CURRENT,44.088,7.594,24.387908215755466,0.0,0.0,0.0,0.0,8.0,VERY_LOW,VERY_ISOLATED,True,2.1843808896827164,0.18561911031728373,18.56191103172837,2.8502674029494752,HIGH,CURRENT,True,BRENT_FX_BRIDGE,2026-09-21,2026-09-11,REMOTE_ISOLATED,REMOTE_ISOLATED,ISOLATION_HEURISTIC,0.4750018477710168,True,HIGH,0.6029342346700756,True,MEDIUM,-0.7673922969747032,True,HIGH,0.8052253718318598,True,HIGH,0.6598167077481045,True,HIGH,1.5137500896551053,True,HIGH,1.9851067022818474,3.4988567919369524,1.0,MEDIUM,HIGH,ESTIMATED,2.219369457602086,15.063054239791418,5.77686883812793,7.601143208063066,19.0,19.0,HISTORICAL_PANEL,2025-01-31,2026-08-31,20,34,100.0,6.415112204072493,4.048924374895746,6.002935278220432,8.647942035718925,1.440618903071466,RADIUS,LOW,NORMAL
16480001,4533682.7,-4328.0,16480,11 RTE DE CHALAIS,Brossac,Charente,16,Nouvelle-Aquitaine,75,ROUTE,2.334,2026-09-11 14:04:32+02:00,SP95,242.8924718702778,242.8924718702778,10.120519661261575,OLD,45.336827,-0.04328,21.143810334235916,0.0,0.0,0.0,0.0,22.0,VERY_LOW,VERY_ISOLATED,True,2.1843808896827164,0.1496191103172837,14.96191103172837,1.9639583878877225,NORMAL,CURRENT,True,BRENT_FX_BRIDGE,2026-09-21,2026-09-11,REMOTE_ISOLATED,REMOTE_ISOLATED,ISOLATION_HEURISTIC,-0.8525319954527302,True,HIGH,-0.4070955225155894,True,LOW,-0.7673922969747032,True,HIGH,0.8052253718318598,True,HIGH,0.6598167077481045,True,HIGH,1.5137500896551053,True,HIGH,-0.3524568981275646,1.1612931915275406,1.0,LOW,HIGH,ESTIMATED,2.195993821597992,13.800617840200813,8.835775822032934,19.438706808472453,5.0,5.0,HISTORICAL_PANEL,2025-01-31,2026-08-31,20,22,50.0,6.8075435672543705,3.6060405679108065,5.346315745984562,6.993074272946442,1.3080174470052026,RADIUS,MEDIUM,NORMAL
